Step,Radius
0,0.978036846411942
1,0.9780368464341355
2,0.978036846467426
3,0.9780368465118129
4,0.9780368465672968
5,0.9780368466338776
6,0.978036846711555
7,0.9780368468003292
8,0.9780368469002003
9,0.9780368470111681
10,0.9780368471332327
11,0.9780368472663941
12,0.9780368474106522
13,0.9780368475660071
14,0.9780368477324589
15,0.9780368479100073
16,0.9780368480986527
17,0.9780368482983948
18,0.9780368485092336
19,0.9780368487311691
20,0.9780368489642016
21,0.9780368492083308
22,0.9780368494635566
23,0.9780368497298795
24,0.978036850007299
25,0.9780368502958152
26,0.9780368505954284
27,0.9780368509061381
28,0.9780368512279449
29,0.9780368515608484
30,0.9780368519048486
31,0.9780368522599456
32,0.9780368526261393
33,0.9780368530034299
34,0.9780368533918172
35,0.9780368537913013
36,0.9780368542018824
37,0.9780368546235599
38,0.9780368550563344
39,0.9780368555002057
40,0.9780368559551736
41,0.9780368564212384
42,0.9780368568983999
43,0.9780368573866585
44,0.9780368578860136
45,0.9780368583964655
46,0.9780368589180143
47,0.9780368594506597
48,0.978036859994402
49,0.9780368605492411
50,0.9780368611151768
51,0.9780368616922094
52,0.9780368622803388
53,0.9780368628795649
54,0.9780368634898879
55,0.9780368641113076
56,0.9780368647438242
57,0.9780368653874375
58,0.9780368660421476
59,0.9780368667079544
60,0.9780368673848582
61,0.9780368680728586
62,0.9780368687719558
63,0.9780368694821497
64,0.9780368702034405
65,0.9780368709358281
66,0.9780368716793124
67,0.9780368724338936
68,0.9780368731995713
69,0.978036873976346
70,0.9780368747642175
71,0.9780368755631857
72,0.9780368763732508
73,0.9780368771944125
74,0.978036878026671
75,0.9780368788700264
76,0.9780368797244787
77,0.9780368805900275
78,0.9780368814666732
79,0.9780368823544157
80,0.9780368832532549
81,0.9780368841631911
82,0.9780368850842237
83,0.9780368860163533
84,0.9780368869595799
85,0.9780368879139029
86,0.9780368888793227
87,0.9780368898558396
88,0.9780368908434531
89,0.9780368918421632
90,0.9780368928519704
91,0.9780368938728743
92,0.9780368949048749
93,0.9780368959479722
94,0.9780368970021664
95,0.9780368980674575
96,0.9780368991438452
97,0.9780369002313297
98,0.978036901329911
99,0.9780369024395891
100,0.978036903560364
101,0.9780369046922356
102,0.978036905835204
103,0.9780369069892693
104,0.9780369081544311
105,0.9780369093306899
106,0.9780369105180455
107,0.9780369117164978
108,0.9780369129260469
109,0.9780369141466928
110,0.9780369153784354
111,0.9780369166212748
112,0.978036917875211
113,0.9780369191402439
114,0.9780369204163737
115,0.9780369217036003
116,0.9780369230019237
117,0.9780369243113438
118,0.9780369256318607
119,0.9780369269634743
120,0.9780369283061848
121,0.9780369296599922
122,0.9780369310248962
123,0.9780369324008968
124,0.9780369337879945
125,0.9780369351861888
126,0.9780369365954801
127,0.9780369380158679
128,0.9780369394473526
129,0.9780369408899342
130,0.9780369423436123
131,0.9780369438083872
132,0.9780369452842592
133,0.9780369467712278
134,0.9780369482692931
135,0.9780369497784552
136,0.9780369512987143
137,0.97803695283007
138,0.9780369543725224
139,0.9780369559260716
140,0.9780369574907176
141,0.9780369590664605
142,0.9780369606533001
143,0.9780369622512365
144,0.9780369638602695
145,0.9780369654803995
146,0.9780369671116262
147,0.9780369687539497
148,0.97803697040737
149,0.978036972071887
150,0.978036973747501
151,0.9780369754342115
152,0.978036977132019
153,0.9780369788409231
154,0.978036980560924
155,0.9780369822920217
156,0.9780369840342162
157,0.9780369857875075
158,0.9780369875518956
159,0.9780369893273805
160,0.978036991113962
161,0.9780369929116404
162,0.9780369947204156
163,0.9780369965402876
164,0.9780369983712563
165,0.9780370002133217
166,0.9780370020664841
167,0.9780370039307431
168,0.9780370058060991
169,0.9780370076925515
170,0.978037009590101
171,0.9780370114987472
172,0.9780370134184903
173,0.97803701534933
174,0.9780370172912664
175,0.9780370192442998
176,0.9780370212084297
177,0.9780370231836566
178,0.9780370251699804
179,0.9780370271674008
180,0.9780370291759177
181,0.9780370311955316
182,0.9780370332262425
183,0.97803703526805
184,0.9780370373209543
185,0.9780370393849552
186,0.9780370414600532
187,0.9780370435462478
188,0.9780370456435391
189,0.9780370477519272
190,0.9780370498714124
191,0.9780370520019941
192,0.9780370541436726
193,0.9780370562964478
194,0.97803705846032
195,0.9780370606352887
196,0.9780370628213543
197,0.9780370650185167
198,0.9780370672267759
199,0.9780370694461318
200,0.9780370716765846
201,0.978037073918134
202,0.9780370761707803
203,0.9780370784345235
204,0.9780370807093631
205,0.9780370829952999
206,0.9780370852923332
207,0.9780370876004634
208,0.9780370899196903
209,0.978037092250014
210,0.9780370945914344
211,0.9780370969439517
212,0.9780370993075658
213,0.9780371016822765
214,0.9780371040680842
215,0.9780371064649886
216,0.9780371088729897
217,0.9780371112920875
218,0.9780371137222823
219,0.9780371161635737
220,0.978037118615962
221,0.9780371210794472
222,0.9780371235540288
223,0.9780371260397074
224,0.9780371285364826
225,0.9780371310443549
226,0.9780371335633238
227,0.9780371360933894
228,0.978037138634552
229,0.9780371411868112
230,0.9780371437501671
231,0.9780371463246199
232,0.9780371489101695
233,0.9780371515068159
234,0.978037154114559
235,0.9780371567333989
236,0.9780371593633355
237,0.978037162004369
238,0.978037164656499
239,0.978037167319726
240,0.9780371699940498
241,0.9780371726794703
242,0.9780371753759877
243,0.9780371780836018
244,0.9780371808023126
245,0.9780371835321202
246,0.9780371862730246
247,0.9780371890250258
248,0.9780371917881239
249,0.9780371945623185
250,0.9780371973476101
251,0.9780372001439982
252,0.9780372029514833
253,0.9780372057700651
254,0.9780372085997437
255,0.978037211440519
256,0.9780372142923913
257,0.9780372171553602
258,0.9780372200294258
259,0.9780372229145884
260,0.9780372258108475
261,0.9780372287182035
262,0.9780372316366565
263,0.978037234566206
264,0.9780372375068523
265,0.9780372404585953
266,0.9780372434214353
267,0.9780372463953719
268,0.9780372493804055
269,0.9780372523765357
270,0.9780372553837626
271,0.9780372584020863
272,0.9780372614315067
273,0.9780372644720242
274,0.9780372675236382
275,0.978037270586349
276,0.9780372736601567
277,0.978037276745061
278,0.9780372798410621
279,0.9780372829481601
280,0.9780372860663548
281,0.9780372891956463
282,0.9780372923360346
283,0.9780372954875197
284,0.9780372986501014
285,0.97803730182378
286,0.9780373050085552
287,0.9780373082044274
288,0.9780373114113964
289,0.978037314629462
290,0.9780373178586245
291,0.9780373210988834
292,0.9780373243502396
293,0.9780373276126922
294,0.9780373308862419
295,0.978037334170888
296,0.978037337466631
297,0.978037340773471
298,0.9780373440914076
299,0.9780373474204409
300,0.9780373507605712
301,0.978037354111798
302,0.9780373574741217
303,0.9780373608475422
304,0.9780373642320594
305,0.9780373676276733
306,0.978037371034384
307,0.9780373744521916
308,0.978037377881096
309,0.9780373813210971
310,0.978037384772195
311,0.9780373882343896
312,0.978037391707681
313,0.9780373951920692
314,0.978037398687554
315,0.9780374021941358
316,0.9780374057118142
317,0.9780374092405896
318,0.9780374127804616
319,0.9780374163314303
320,0.978037419893496
321,0.9780374234666583
322,0.9780374270509173
323,0.9780374306462731
324,0.9780374342527259
325,0.9780374378702753
326,0.9780374414989215
327,0.9780374451386643
328,0.9780374487895042
329,0.9780374524514406
330,0.9780374561244739
331,0.978037459808604
332,0.9780374635038306
333,0.9780374672101543
334,0.9780374709275745
335,0.9780374746560917
336,0.9780374783957057
337,0.9780374821464162
